2022-07-11 19:56:39 INFO  Планировщик запущен! Период = HOURS
2022-07-11 19:56:40 INFO  chrome Процесс не найден
2022-07-11 19:56:40 INFO  chromedriver Процесс не найден
2022-07-11 19:56:40 INFO  firefox Процесс не найден
2022-07-11 19:56:40 INFO  geckodriver Процесс не найден
2022-07-11 19:56:40 INFO  msedge Процесс не найден
2022-07-11 19:56:41 INFO  msedgedriver Процесс не найден
2022-07-11 19:56:41 INFO  opera Процесс не найден
2022-07-11 19:56:41 INFO  operadriver Процесс не найден
2022-07-11 19:56:41 INFO  chromium Попытка № 0
2022-07-11 19:56:41 INFO  chromium Инициализация драйвера...
2022-07-11 19:56:42 INFO  chromium Прокси выключен!
2022-07-11 19:56:42 INFO  chromium опции браузера установлены
2022-07-11 19:56:45 INFO  chrome Получаем IP адрес... 
2022-07-11 19:56:45 INFO  chrome IP адрес = 178.214.245.208
2022-07-11 19:56:46 INFO  chromium Запуск страницы голосования https://www.ufa.kp.ru/best/msk/oprosy/ufa_klinikagoda2022
2022-07-11 19:56:47 INFO  Ожидаем 2 сек...
2022-07-11 19:56:49 INFO  chromium UserAgent = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11
2022-07-11 19:56:49 INFO  chromium Пытаемся получить куки...
2022-07-11 19:56:49 INFO  Сохраняем объект HashSet в cookie_after_voting.json...
2022-07-11 19:56:49 INFO  Успешное сохранение объекта HashSet в cookie_after_voting.json
2022-07-11 19:56:50 INFO  Сохраняем объект VotingPage в page_before_voting.json...
2022-07-11 19:56:50 INFO  Успешное сохранение объекта VotingPage в page_before_voting.json
2022-07-11 19:56:55 INFO  chromium Ищем inp19 ...
2022-07-11 19:56:55 INFO  chromium Проставлен inp19
2022-07-11 19:56:55 INFO  chromium Ищем кнопку голосования: 
2022-07-11 19:56:55 INFO  chromium Кнопка голосования нажата: 
2022-07-11 19:56:55 INFO  Ожидаем 2 сек...
2022-07-11 19:56:57 INFO  chromium Пытаемся получить куки...
2022-07-11 19:56:57 INFO  Сохраняем объект HashSet в cookie_before_voting.json...
2022-07-11 19:56:57 INFO  Успешное сохранение объекта HashSet в cookie_before_voting.json
2022-07-11 19:56:57 INFO  Сохраняем объект VotingPage в page_after_voting.json...
2022-07-11 19:56:57 INFO  Успешное сохранение объекта VotingPage в page_after_voting.json
2022-07-11 19:56:57 INFO  Сохраняем объект MemberRanks в member_ranks.json...
2022-07-11 19:56:57 INFO  Успешное сохранение объекта MemberRanks в member_ranks.json
2022-07-11 19:56:57 INFO  Сохраняем объект MemberRanks в member_ranks.json...
2022-07-11 19:56:57 INFO  Успешное сохранение объекта MemberRanks в member_ranks.json
2022-07-11 19:56:57 INFO  chromium Member{id=19, input='inp19', title='МЗ РБ ГБУЗ Республиканская клиническая инфекционная больница', count='14741', percent='(33.76%)'}
2022-07-11 19:56:57 INFO  chromium Завершаем работу драйвера: chromedriver
2022-07-11 19:56:58 INFO  chromium Работа драйвера chromedriver успешно завершена!
2022-07-11 19:56:58 INFO  Ожидаем 10 сек...
2022-07-11 19:57:08 INFO  Проверка дистанции...
2022-07-11 19:57:08 INFO  Сохраняем объект MemberRanks в member_ranks.json...
2022-07-11 19:57:08 INFO  Успешное сохранение объекта MemberRanks в member_ranks.json
2022-07-11 19:57:08 INFO  Проверка дистанции завершена.
